Date,Series,WIPRO_Close_Price,TCS_Close_Price,HCLTECH_Close_Price
10/18/2019,EQ,248.9,2057.35,1095.5
10/27/2019,EQ,253.65,2115.7,1130.5
11/1/2019,EQ,258.6,2200.9,1152
11/8/2019,EQ,256.4,2129.95,1150.1
11/15/2019,EQ,252.55,2174.45,1142.3
11/22/2019,EQ,243.1,2071.7,1114.75
11/29/2019,EQ,237.7,2053.25,1127.65
12/6/2019,EQ,241,2123.6,560.3
12/13/2019,EQ,243.85,2071.25,543.15
12/20/2019,EQ,251.8,2222.9,569.9
12/27/2019,EQ,247.55,2198.5,567.55
1/3/2020,EQ,251.1,2200.65,585.05
1/10/2020,EQ,251.75,2213.55,580.35
1/17/2020,EQ,251.1,2219.1,598.8
1/24/2020,EQ,247.6,2183.4,607.7
2/1/2020,EQ,236.8,2164.85,590.9
2/7/2020,EQ,243.95,2136.55,607.7
2/14/2020,EQ,242.9,2184.2,621.65
2/20/2020,EQ,245.7,2156.8,608.05
2/28/2020,EQ,221.45,2000.15,534.35
3/6/2020,EQ,223.55,2116.45,566.2
3/13/2020,EQ,197.4,1806.3,492.9
3/20/2020,EQ,179.2,1797.45,444.9
3/27/2020,EQ,183.5,1824.5,430.65
4/3/2020,EQ,180,1654.2,405.8
4/9/2020,EQ,196.7,1766.15,469.05
4/17/2020,EQ,187,1806.2,455.25
4/24/2020,EQ,177.75,1818.55,468.1
4/30/2020,EQ,190.95,2014.45,543.55
5/8/2020,EQ,184,1893.4,518.4
5/15/2020,EQ,183.8,1892.9,511.25
5/22/2020,EQ,189,2020.35,530.4
5/29/2020,EQ,212.8,1972.35,550.25
6/5/2020,EQ,218.75,2048.25,575.95
6/12/2020,EQ,207.9,2039.5,570.75
6/19/2020,EQ,222.05,2044.6,569.6
6/26/2020,EQ,225.45,2118.85,562.4
7/3/2020,EQ,224.8,2199.65,579.15
7/10/2020,EQ,222.1,2222.35,582.25
7/17/2020,EQ,261.35,2200.75,623.15
7/24/2020,EQ,270.55,2157.4,679.95
7/31/2020,EQ,280.95,2281.4,705.2
8/7/2020,EQ,277.4,2295.35,690.3
8/14/2020,EQ,276.5,2242.15,709.1
8/21/2020,EQ,273.35,2248.6,705.9
8/28/2020,EQ,272.05,2238.55,706.45
9/4/2020,EQ,276,2288.8,700.8
9/11/2020,EQ,293.3,2374.1,721.65
9/18/2020,EQ,316.5,2449.9,810.6
9/25/2020,EQ,313.9,2422.3,827.7
10/1/2020,EQ,313.05,2523.45,812.95
10/9/2020,EQ,374,2812.95,855.75
10/16/2020,EQ,339.65,2763.3,827.15
10/23/2020,EQ,342.4,2686.8,852.45
10/30/2020,EQ,340.7,2664.85,841.95
11/6/2020,EQ,345.75,2707.45,850.1
11/14/2020,EQ,345.45,2670.35,830.5
11/20/2020,EQ,346.3,2660.25,819.25
11/27/2020,EQ,350.5,2679.65,822.1
12/4/2020,EQ,360.8,2727.55,858.5
12/11/2020,EQ,353.5,2783.6,862.25
12/18/2020,EQ,363.55,2861,890.65
12/24/2020,EQ,382.2,2909.35,919.35
1/1/2021,EQ,388.1,2928.25,950.5
1/8/2021,EQ,430.2,3120.9,994.65
1/15/2021,EQ,438.55,3233.35,989.8
1/22/2021,EQ,444.75,3303.1,985.8
1/29/2021,EQ,417.9,3111.35,914
2/5/2021,EQ,425.55,3157.95,946.15
2/12/2021,EQ,442,3190.8,960.4
2/19/2021,EQ,429.95,3071.85,950.15
2/26/2021,EQ,410.3,2894.3,909.45
3/5/2021,EQ,420.85,3008.05,941.5
3/12/2021,EQ,425.2,3057.95,979.25
3/19/2021,EQ,410.5,3050.2,960.45
3/26/2021,EQ,403.9,3066.8,958.55
3/31/2021,EQ,414.15,3177.85,982.65
